,provincia,poblacion,total,nuevas,probables,lat,lng,created_at
301,Manabí,1562079,8,5,0,-1.056181,-80.455217,07/04/2020
302,Morona Santiago,196535,0,0,0,-2.3,-78.116667,07/04/2020
303,Napo,133705,0,0,0,-0.989,-77.8159,07/04/2020
304,Orellana,161338,0,0,0,-0.466667,-76.966667,07/04/2020
305,Pastaza,114202,0,0,0,-1.066667,-78.001111,07/04/2020
306,Pichincha,3228233,10,0,0,-0.218611,-78.509722,07/04/2020
307,Santa Elena,401178,4,0,0,-2.2267,-80.8583,07/04/2020
308,Sto. Domingo Tsáchilas,511151,4,2,0,-0.254167,-79.171944,07/04/2020
309,Sucumbíos,230503,1,0,0,0.084722,-76.882778,07/04/2020
310,Tungurahua,590600,3,0,0,-1.241667,-78.619722,07/04/2020
311,Zamora Chinchipe,120416,0,0,0,-4.12,-78.8,07/04/2020
312,Azuay,881394,6,0,0,-2.897414,-79.004481,08/04/2020
313,Bolívar,209933,1,0,0,-1.605556,-79.003056,08/04/2020
314,Carchi,186869,0,0,0,0.81218,-77.71633,08/04/2020
315,Cañar,281396,2,0,0,-2.733333,-78.833333,08/04/2020
316,Chimborazo,524004,13,2,0,-1.674347,-78.648294,08/04/2020
317,Cotopaxi,488716,4,0,0,-0.933333,-78.616667,08/04/2020
318,El Oro,715751,15,1,0,-3.266667,-79.966667,08/04/2020
319,Esmeraldas,591083,2,2,0,1.05,-79.2,08/04/2020
320,Galápagos,33042,1,0,0,-0.7999999999999999,-89.4,08/04/2020
321,Guayas,4387434,144,6,0,-2.183333,-79.883333,08/04/2020
322,Imbabura,476257,2,0,0,0.362678,-78.130667,08/04/2020
323,Loja,521154,0,0,0,-3.983333,-79.2,08/04/2020
324,Los Ríos,921763,11,0,0,-1.8,-79.533333,08/04/2020
325,Manabí,1562079,14,6,0,-1.056181,-80.455217,08/04/2020
326,Morona Santiago,196535,0,0,0,-2.3,-78.116667,08/04/2020
327,Napo,133705,0,0,0,-0.989,-77.8159,08/04/2020
328,Orellana,161338,0,0,0,-0.466667,-76.966667,08/04/2020
329,Pastaza,114202,0,0,0,-1.066667,-78.001111,08/04/2020
330,Pichincha,3228233,15,5,0,-0.218611,-78.509722,08/04/2020
331,Santa Elena,401178,4,0,0,-2.2267,-80.8583,08/04/2020
332,Sto. Domingo Tsáchilas,511151,4,0,0,-0.254167,-79.171944,08/04/2020
333,Sucumbíos,230503,1,0,0,0.084722,-76.882778,08/04/2020
334,Tungurahua,590600,3,0,0,-1.241667,-78.619722,08/04/2020
335,Zamora Chinchipe,120416,0,0,0,-4.12,-78.8,08/04/2020
336,Azuay,881394,6,0,0,-2.897414,-79.004481,09/04/2020
337,Bolívar,209933,1,0,0,-1.605556,-79.003056,09/04/2020
338,Carchi,186869,0,0,0,0.81218,-77.71633,09/04/2020
339,Cañar,281396,3,1,0,-2.733333,-78.833333,09/04/2020
340,Chimborazo,524004,14,1,0,-1.674347,-78.648294,09/04/2020
341,Cotopaxi,488716,5,1,0,-0.933333,-78.616667,09/04/2020
342,El Oro,715751,19,4,0,-3.266667,-79.966667,09/04/2020
343,Esmeraldas,591083,7,5,0,1.05,-79.2,09/04/2020
344,Galápagos,33042,1,0,0,-0.7999999999999999,-89.4,09/04/2020
345,Guayas,4387434,154,10,0,-2.183333,-79.883333,09/04/2020
346,Imbabura,476257,2,0,0,0.362678,-78.130667,09/04/2020
347,Loja,521154,0,0,0,-3.983333,-79.2,09/04/2020
348,Los Ríos,921763,11,0,0,-1.8,-79.533333,09/04/2020
349,Manabí,1562079,17,3,0,-1.056181,-80.455217,09/04/2020
350,Morona Santiago,196535,0,0,0,-2.3,-78.116667,09/04/2020
351,Napo,133705,0,0,0,-0.989,-77.8159,09/04/2020
352,Orellana,161338,0,0,0,-0.466667,-76.966667,09/04/2020
353,Pastaza,114202,0,0,0,-1.066667,-78.001111,09/04/2020
354,Pichincha,3228233,17,2,0,-0.218611,-78.509722,09/04/2020
355,Santa Elena,401178,4,0,0,-2.2267,-80.8583,09/04/2020
356,Sto. Domingo Tsáchilas,511151,6,2,0,-0.254167,-79.171944,09/04/2020
357,Sucumbíos,230503,1,0,0,0.084722,-76.882778,09/04/2020
358,Tungurahua,590600,4,1,0,-1.241667,-78.619722,09/04/2020
359,Zamora Chinchipe,120416,0,0,0,-4.12,-78.8,09/04/2020
360,Azuay,881394,6,0,0,-2.897414,-79.004481,10/04/2020
361,Bolívar,209933,1,0,0,-1.605556,-79.003056,10/04/2020
362,Carchi,186869,1,1,0,0.81218,-77.71633,10/04/2020
363,Cañar,281396,3,0,0,-2.733333,-78.833333,10/04/2020
364,Chimborazo,524004,14,0,0,-1.674347,-78.648294,10/04/2020
365,Cotopaxi,488716,5,0,0,-0.933333,-78.616667,10/04/2020
366,El Oro,715751,21,2,0,-3.266667,-79.966667,10/04/2020
367,Esmeraldas,591083,7,0,0,1.05,-79.2,10/04/2020
368,Galápagos,33042,1,0,0,-0.7999999999999999,-89.4,10/04/2020
369,Guayas,4387434,159,5,0,-2.183333,-79.883333,10/04/2020
370,Imbabura,476257,2,0,0,0.362678,-78.130667,10/04/2020
371,Loja,521154,2,2,0,-3.983333,-79.2,10/04/2020
372,Los Ríos,921763,13,2,0,-1.8,-79.533333,10/04/2020
373,Manabí,1562079,20,3,0,-1.056181,-80.455217,10/04/2020
374,Morona Santiago,196535,0,0,0,-2.3,-78.116667,10/04/2020
375,Napo,133705,0,0,0,-0.989,-77.8159,10/04/2020
376,Orellana,161338,0,0,0,-0.466667,-76.966667,10/04/2020
377,Pastaza,114202,0,0,0,-1.066667,-78.001111,10/04/2020
378,Pichincha,3228233,25,8,0,-0.218611,-78.509722,10/04/2020
379,Santa Elena,401178,5,1,0,-2.2267,-80.8583,10/04/2020
